### BEGIN ps -ef###

UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 Oct17 ?        00:00:04 /sbin/init splash
root           2       0  0 Oct17 ?        00:00:00 [kthreadd]
root           3       2  0 Oct17 ?        00:00:00 [rcu_gp]
root           4       2  0 Oct17 ?        00:00:00 [rcu_par_gp]
root           5       2  0 Oct17 ?        00:00:00 [netns]
root           7       2  0 Oct17 ?        00:00:00 [kworker/0:0H-events_highpri]
root           9       2  0 Oct17 ?        00:00:00 [kworker/0:1H-kblockd]
root          10       2  0 Oct17 ?        00:00:00 [mm_percpu_wq]
root          11       2  0 Oct17 ?        00:00:00 [rcu_tasks_rude_]
root          12       2  0 Oct17 ?        00:00:00 [rcu_tasks_trace]
root          13       2  0 Oct17 ?        00:00:00 [ksoftirqd/0]
root          14       2  0 Oct17 ?        00:00:15 [rcu_sched]
root          15       2  0 Oct17 ?        00:00:00 [migration/0]
root          16       2  0 Oct17 ?        00:00:00 [idle_inject/0]
root          18       2  0 Oct17 ?        00:00:00 [cpuhp/0]
root          19       2  0 Oct17 ?        00:00:00 [cpuhp/1]
root          20       2  0 Oct17 ?        00:00:00 [idle_inject/1]
root          21       2  0 Oct17 ?        00:00:00 [migration/1]
root          22       2  0 Oct17 ?        00:00:00 [ksoftirqd/1]
root          24       2  0 Oct17 ?        00:00:00 [kworker/1:0H-events_highpri]
root          25       2  0 Oct17 ?        00:00:00 [cpuhp/2]
root          26       2  0 Oct17 ?        00:00:00 [idle_inject/2]
root          27       2  0 Oct17 ?        00:00:00 [migration/2]
root          28       2  0 Oct17 ?        00:00:00 [ksoftirqd/2]
root          30       2  0 Oct17 ?        00:00:00 [kworker/2:0H-events_highpri]
root          31       2  0 Oct17 ?        00:00:00 [cpuhp/3]
root          32       2  0 Oct17 ?        00:00:00 [idle_inject/3]
root          33       2  0 Oct17 ?        00:00:00 [migration/3]
root          34       2  0 Oct17 ?        00:00:00 [ksoftirqd/3]
root          36       2  0 Oct17 ?        00:00:00 [kworker/3:0H-events_highpri]
root          37       2  0 Oct17 ?        00:00:00 [cpuhp/4]
root          38       2  0 Oct17 ?        00:00:00 [idle_inject/4]
root          39       2  0 Oct17 ?        00:00:00 [migration/4]
root          40       2  0 Oct17 ?        00:00:00 [ksoftirqd/4]
root          42       2  0 Oct17 ?        00:00:00 [kworker/4:0H-events_highpri]
root          43       2  0 Oct17 ?        00:00:00 [cpuhp/5]
root          44       2  0 Oct17 ?        00:00:00 [idle_inject/5]
root          45       2  0 Oct17 ?        00:00:00 [migration/5]
root          46       2  0 Oct17 ?        00:00:00 [ksoftirqd/5]
root          48       2  0 Oct17 ?        00:00:00 [kworker/5:0H-events_highpri]
root          49       2  0 Oct17 ?        00:00:00 [cpuhp/6]
root          50       2  0 Oct17 ?        00:00:00 [idle_inject/6]
root          51       2  0 Oct17 ?        00:00:00 [migration/6]
root          52       2  0 Oct17 ?        00:00:00 [ksoftirqd/6]
root          54       2  0 Oct17 ?        00:00:00 [kworker/6:0H-events_highpri]
root          55       2  0 Oct17 ?        00:00:00 [cpuhp/7]
root          56       2  0 Oct17 ?        00:00:00 [idle_inject/7]
root          57       2  0 Oct17 ?        00:00:00 [migration/7]
root          58       2  0 Oct17 ?        00:00:00 [ksoftirqd/7]
root          60       2  0 Oct17 ?        00:00:00 [kworker/7:0H-events_highpri]
root          61       2  0 Oct17 ?        00:00:00 [cpuhp/8]
root          62       2  0 Oct17 ?        00:00:00 [idle_inject/8]
root          63       2  0 Oct17 ?        00:00:00 [migration/8]
root          64       2  0 Oct17 ?        00:00:00 [ksoftirqd/8]
root          66       2  0 Oct17 ?        00:00:00 [kworker/8:0H-events_highpri]
root          67       2  0 Oct17 ?        00:00:00 [cpuhp/9]
root          68       2  0 Oct17 ?        00:00:00 [idle_inject/9]
root          69       2  0 Oct17 ?        00:00:00 [migration/9]
root          70       2  0 Oct17 ?        00:00:00 [ksoftirqd/9]
root          73       2  0 Oct17 ?        00:00:00 [cpuhp/10]
root          74       2  0 Oct17 ?        00:00:00 [idle_inject/10]
root          75       2  0 Oct17 ?        00:00:00 [migration/10]
root          76       2  0 Oct17 ?        00:00:00 [ksoftirqd/10]
root          78       2  0 Oct17 ?        00:00:00 [kworker/10:0H-events_highpri]
root          79       2  0 Oct17 ?        00:00:00 [cpuhp/11]
root          80       2  0 Oct17 ?        00:00:00 [idle_inject/11]
root          81       2  0 Oct17 ?        00:00:00 [migration/11]
root          82       2  0 Oct17 ?        00:00:00 [ksoftirqd/11]
root          84       2  0 Oct17 ?        00:00:00 [kworker/11:0H-events_highpri]
root          85       2  0 Oct17 ?        00:00:00 [cpuhp/12]
root          86       2  0 Oct17 ?        00:00:00 [idle_inject/12]
root          87       2  0 Oct17 ?        00:00:00 [migration/12]
root          88       2  0 Oct17 ?        00:00:00 [ksoftirqd/12]
root          90       2  0 Oct17 ?        00:00:00 [kworker/12:0H-events_highpri]
root          91       2  0 Oct17 ?        00:00:00 [cpuhp/13]
root          92       2  0 Oct17 ?        00:00:00 [idle_inject/13]
root          93       2  0 Oct17 ?        00:00:00 [migration/13]
root          94       2  0 Oct17 ?        00:00:00 [ksoftirqd/13]
root          96       2  0 Oct17 ?        00:00:00 [kworker/13:0H-kblockd]
root          97       2  0 Oct17 ?        00:00:00 [cpuhp/14]
root          98       2  0 Oct17 ?        00:00:00 [idle_inject/14]
root          99       2  0 Oct17 ?        00:00:00 [migration/14]
root         100       2  0 Oct17 ?        00:00:00 [ksoftirqd/14]
root         102       2  0 Oct17 ?        00:00:00 [kworker/14:0H-events_highpri]
root         103       2  0 Oct17 ?        00:00:00 [cpuhp/15]
root         104       2  0 Oct17 ?        00:00:00 [idle_inject/15]
root         105       2  0 Oct17 ?        00:00:00 [migration/15]
root         106       2  0 Oct17 ?        00:00:00 [ksoftirqd/15]
root         108       2  0 Oct17 ?        00:00:00 [kworker/15:0H-events_highpri]
root         109       2  0 Oct17 ?        00:00:00 [cpuhp/16]
root         110       2  0 Oct17 ?        00:00:00 [idle_inject/16]
root         111       2  0 Oct17 ?        00:00:00 [migration/16]
root         112       2  0 Oct17 ?        00:00:00 [ksoftirqd/16]
root         114       2  0 Oct17 ?        00:00:00 [kworker/16:0H-events_highpri]
root         115       2  0 Oct17 ?        00:00:00 [cpuhp/17]
root         116       2  0 Oct17 ?        00:00:00 [idle_inject/17]
root         117       2  0 Oct17 ?        00:00:00 [migration/17]
root         118       2  0 Oct17 ?        00:00:00 [ksoftirqd/17]
root         120       2  0 Oct17 ?        00:00:00 [kworker/17:0H-events_highpri]
root         121       2  0 Oct17 ?        00:00:00 [cpuhp/18]
root         122       2  0 Oct17 ?        00:00:00 [idle_inject/18]
root         123       2  0 Oct17 ?        00:00:00 [migration/18]
root         124       2  0 Oct17 ?        00:00:00 [ksoftirqd/18]
root         126       2  0 Oct17 ?        00:00:00 [kworker/18:0H-events_highpri]
root         127       2  0 Oct17 ?        00:00:00 [cpuhp/19]
root         128       2  0 Oct17 ?        00:00:00 [idle_inject/19]
root         129       2  0 Oct17 ?        00:00:00 [migration/19]
root         130       2  0 Oct17 ?        00:00:00 [ksoftirqd/19]
root         132       2  0 Oct17 ?        00:00:00 [kworker/19:0H-events_highpri]
root         133       2  0 Oct17 ?        00:00:00 [cpuhp/20]
root         134       2  0 Oct17 ?        00:00:00 [idle_inject/20]
root         135       2  0 Oct17 ?        00:00:00 [migration/20]
root         136       2  0 Oct17 ?        00:00:00 [ksoftirqd/20]
root         138       2  0 Oct17 ?        00:00:00 [kworker/20:0H-events_highpri]
root         139       2  0 Oct17 ?        00:00:00 [cpuhp/21]
root         140       2  0 Oct17 ?        00:00:00 [idle_inject/21]
root         141       2  0 Oct17 ?        00:00:00 [migration/21]
root         142       2  0 Oct17 ?        00:00:00 [ksoftirqd/21]
root         144       2  0 Oct17 ?        00:00:00 [kworker/21:0H-events_highpri]
root         145       2  0 Oct17 ?        00:00:00 [cpuhp/22]
root         146       2  0 Oct17 ?        00:00:00 [idle_inject/22]
root         147       2  0 Oct17 ?        00:00:00 [migration/22]
root         148       2  0 Oct17 ?        00:00:00 [ksoftirqd/22]
root         150       2  0 Oct17 ?        00:00:00 [kworker/22:0H-kblockd]
root         151       2  0 Oct17 ?        00:00:00 [cpuhp/23]
